date,A0_LEGACY,X_CAP15_ONLY,A_CURRENT,X_COOLDOWN5,B_EQUAL,C_CAP10,C_CAP08,D_BAND20,E_VOL_RISK
2026-03-03,3.724454204502619e-05,4.429873197505609e-05,0.0018942173336923282,0.0018942173336923282,0.0016859232457621834,0.0014534404518797889,0.001151485097207959,0.0018190245383454292,0.0014844984063262566
2026-03-04,1.0742726903329997e-05,1.2819128994422549e-05,0.0017389639436412303,0.0012214639436412304,0.0017244684940764174,0.001118058846833895,0.0008856997593506903,0.0017378531610978203,0.00026043050990027275
2026-03-05,0.0,0.0,0.0007399364261761929,0.0,0.0008244573967530781,0.00046,0.000368,0.0006890767326932178,0.0
2026-03-06,2.5866315347992127e-05,2.767002660215828e-05,0.0,0.0,0.0,7.036159520768217e-05,6.019887859639375e-05,0.0,0.0
2026-03-09,2.4316482917468403e-05,1.1276232959880572e-05,0.0005912555427633476,0.0,0.0004748863828126825,0.00028924149755163995,0.00023116460963184832,0.0005576404616161068,0.0
2026-03-10,0.0,0.0,0.0005704766760329538,0.0,0.00041991692196497707,0.000115,9.2e-05,0.00047821911286413795,0.00023
2026-03-11,8.949000001783105e-05,5.16514538396951e-05,0.0,0.00069,4.622896739296987e-05,0.0,0.0,0.0,0.00046
2026-03-12,0.0,1.705779947368441e-05,0.0,0.0005089453247080728,0.0,0.0,0.0,0.0,0.000115
2026-03-13,0.0,4.4549315162138584e-05,0.0010619901796284745,0.0,0.0008094657029399325,0.000593041846653248,0.0004713015480023879,0.0010581819085194344,0.0002802661298799544
2026-03-16,0.0,0.0,0.00042515469735796127,0.0005741124221363012,0.0003829045379277475,0.0002711796338799657,0.00021496235335622077,0.0003406978849874781,0.00028203434620687596
2026-03-17,0.0,0.0,0.0001725,4.9241659349896884e-05,0.0001725,0.000115,9.2e-05,0.0001725,0.0
2026-03-18,0.0,0.0,0.0008182006428010082,0.0,0.0006284263468987234,0.00023,0.000184,0.0007674945505048592,0.0
2026-03-19,0.00011073522445496236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-20,0.0005328978426716022,0.0005855318531105764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,0.0,0.0,0.001902304011838051,0.0017548223445764122,0.0019240078937357592,0.0014341740246168154,0.0011350511219056008,0.0018956522872814164,0.0014602200445736756
2026-03-24,0.0,0.0,0.000345,0.0,0.000345,0.00023,0.000184,0.000345,0.000115
2026-03-25,0.0,0.0,0.0,0.0001725,0.0,0.0,0.0,0.0,0.000115
2026-03-26,0.0009755619314324987,0.0010048010154024597,0.0,0.00045098303744278603,0.0,0.0,0.0,0.0,0.0
2026-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-31,0.0017569859534088319,0.0017104964978098929,0.0013063973179977368,0.0010206316736926146,0.0013064792682100904,0.0008649058963820532,0.0006857171762982483,0.0013063039244878595,0.0006866009474492877
2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027994628469113703
2026-04-08,0.0015361398009596237,0.0001725,0.0001725,0.0001725,0.0001725,0.000115,9.2e-05,0.0001725,0.000115
2026-04-09,0.0,0.0,5.187360285712873e-05,0.0,5.187377480918979e-05,3.331977430026907e-05,2.6239533682288744e-05,0.0,0.0
2026-04-10,0.0,7.28572183928334e-05,0.0,6.225868314799783e-05,0.0,0.0,0.0,0.0,0.0
2026-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14,0.001060523512433719,0.0001725,0.0001725,0.0001725,0.0001725,0.000115,9.2e-05,0.0001725,0.000115
