company_name,company_name_wics,stock_code,corp_code,fiscal_year,wics_large_code,wics_large,wics_index_code,wics_index_name,wics_date,revenue,revenue_prev,operating_income,net_income,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,operating_cash_flow,investing_cash_flow,financing_cash_flow,revenue_growth_yoy,operating_margin,roe,debt_ratio,current_ratio,ocf_to_revenue
LS머트리얼즈,LS머트리얼즈,417200,01528141,2021,G45,IT,G4535,WICS 전자와 전기제품,2026-03-27,,,,,,,,,,,,,,,,,,
LS티라유텍,LS티라유텍,322180,01309388,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,,,,,,,,,,,,,,,,,,
LX세미콘,LX세미콘,108320,00525934,2021,G45,IT,G4540,WICS 디스플레이,2026-03-27,1898845716028.0,,369621952134.0,296424020561.0,1172530981920.0,372198273673.0,800332708247.0,1031063337504.0,363583458447.0,421502665587.0,-361251241958.0,-25277580616.0,,0.19465612662158469,0.37037599176756014,0.4650544327848857,2.8358367619584635,0.22197836402880486
MDS테크,MDS테크,086960,00445841,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,155058657062.0,,2163328710.0,-7912972083.0,204811887709.0,97660797084.0,107151090625.0,150567940519.0,60002374993.0,2831096763.0,-12488652745.0,17896042724.0,,0.013951679648141127,-0.07384873114071488,0.9114307331297871,2.5093663465248763,0.018258230895602235
NHN,NHN,181710,00983271,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,1923677420336.0,,97869201232.0,129700556658.0,3027171506519.0,928563861666.0,2098607644853.0,1359936387884.0,719698393937.0,226363126341.0,-173826812654.0,7746842707.0,,0.05087609814274663,0.06180314694654849,0.4424666344580302,1.8895920837681406,0.11767208158084123
NHN KCP,NHN KCP,060250,00357740,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,745418208065.0,,43162129841.0,30338297024.0,410847594667.0,248055950167.0,162791644500.0,327332799931.0,244210931076.0,68315120547.0,-20913070912.0,-26858120017.0,,0.057903240588987985,0.1863627406503655,1.5237634027771,1.340369157468762,0.09164670222416
NICE,NICE,034310,00158316,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,,,144268811828.0,101055237965.0,3083783180088.0,1763338211906.0,1320444968182.0,1697126345494.0,1510661817196.0,229477208778.0,-328291067819.0,26565324328.0,,,0.07653120001216993,1.335412118184508,1.1234323434771816,
NICE인프라,NICE인프라,063570,00363769,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,238364363650.0,,14287632791.0,9041487708.0,488753041126.0,322248776461.0,166504264665.0,189540442728.0,226383585570.0,66275334560.0,-34959518104.0,-48797231170.0,,0.05994030555666076,0.05430183861170833,1.9353785148347509,0.8372534707000312,0.2780421265374834
PS일렉트로닉스,PS일렉트로닉스,332570,01015160,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,60002097873.0,,159718992.0,-7631569240.0,109314064823.0,23073972528.0,86240092295.0,96491191568.0,17771107378.0,-22431291840.0,7053771676.0,8101568052.0,,0.0026618901282095177,-0.08849212746543478,0.2675550537338395,5.429666790908746,-0.3738417927899439
RFHIC,RFHIC,218410,01078178,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,101561301412.0,,4363911122.0,5885010661.0,446949568964.0,138601673919.0,308347895045.0,321242914739.0,59656810756.0,22097622804.0,-122815294010.0,106776787615.0,,0.042968247367145114,0.0190856197028397,0.4494977139337131,5.384848949651418,0.21757916151898632
S&K폴리텍,S&K폴리텍,091340,00580667,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,330997088798.0,,6746720401.0,5145383796.0,288281633056.0,162330343908.0,125951289148.0,183365053348.0,124439482654.0,1731857664.0,3088135322.0,11570791797.0,,0.020383020362808597,0.04085217254071833,1.2888343184582456,1.4735279305028988,0.005232244399155164
SFA반도체,SFA반도체,036540,00301246,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,641108819687.0,,66496309132.0,55099304854.0,649395336516.0,223536653541.0,425858682975.0,249648865535.0,95205691082.0,101554057612.0,-56011805893.0,-35356618967.0,,0.10372078357066528,0.12938401177846737,0.5249080563049661,2.6222052767830775,0.15840377560486593
SGA솔루션즈,SGA솔루션즈,184230,00988364,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,24669735159.0,,3713782292.0,1599308658.0,63964761367.0,27427224009.0,36537537358.0,38472719688.0,26810355536.0,6251195926.0,-9377651146.0,14586780290.0,,0.15054001463996827,0.04377165987761424,0.7506588016664656,1.4349947592578618,0.25339533990576474
