company_name,stock_code,corp_code,fiscal_year,wics_large,wics_index_name,revenue,revenue_prev,revenue_growth_yoy,operating_income,operating_income_prev,operating_income_growth_yoy,operating_margin,net_income,net_income_prev,net_income_growth_yoy,roe,total_assets,total_liabilities,total_equity,debt_ratio,current_assets,current_liabilities,current_ratio,operating_cash_flow,investing_cash_flow,financing_cash_flow,ocf_to_revenue,snapshot_date,market_cap_wics_raw,trading_value_wics_raw,shares_outstanding,data_provider
LG디스플레이,034220,00105873,2025,IT,WICS 디스플레이,25810082000000.0,26615347000000.0,-0.0302556641474559,516977000000.0,-560596000000.0,-1.9221917387922853,0.0200300409739108,303807000000.0,-2409300000000.0,-1.1260976217158511,0.0387546595727799,26916700000000.0,19077462000000.0,7839238000000.0,2.433586274584341,6982077000000.0,9596471000000.0,0.7275671442137427,2352083000000.0,-978619000000.0,-1963387000000.0,0.091130396253681,20260327,3450000,153256,300000000,wics_local_fallback
LG씨엔에스,064400,00139834,2025,IT,WICS 소프트웨어와서비스,6129542718000.0,5982627063000.0,0.0245570471722382,551828295000.0,512864077000.0,0.07597377111674757,0.0900276448648448,439157596000.0,364914430000.0,0.203453631581519,0.1493002574695946,5285275191000.0,2343836218000.0,2941438973000.0,0.7968331961038445,3964963060000.0,1860821470000.0,2.130759518805423,418168400000.0,-530232176000.0,173545250000.0,0.0682217938985901,20260327,2959866,365226,48442974,wics_local_fallback
LG에너지솔루션,373220,01515323,2025,IT,WICS 전자와 전기제품,23671759000000.0,25619585000000.0,-0.0760287881322043,1346120000000.0,575387000000.0,1.339503673179964,0.0568660740420684,80803000000.0,338602000000.0,-0.7613628980336796,0.0027557428845472,67147953000000.0,37826277000000.0,29321676000000.0,1.290044846004028,18412127000000.0,16785357000000.0,1.096916020314611,4432277000000.0,-10881277000000.0,6285926000000.0,0.187239021823431,20260327,13846950,1554136,35100000,wics_local_fallback
LG이노텍,011070,00105961,2025,IT,WICS 기술하드웨어와장비,21896603000000.0,21200755000000.0,0.0328218499765692,665007000000.0,706043000000.0,-0.058121105938306876,0.0303703273060209,341262000000.0,449274000000.0,-0.24041453545052685,0.0592154784598582,11930883000000.0,6167829000000.0,5763054000000.0,1.070236197682687,6778361000000.0,4507244000000.0,1.5038815293780412,1331402000000.0,-796346000000.0,-452852000000.0,0.0608040434399801,20260327,4475332,2658156,13963593,wics_local_fallback
LG전자,066570,00401731,2025,IT,WICS 전자와 전기제품,89200882000000.0,87728182000000.0,0.0167870798918413,2478392000000.0,3419675000000.0,-0.27525510465175784,0.0277843889480823,1220412000000.0,591365000000.0,1.0637203757408706,0.0427434481442209,68620167000000.0,40068142000000.0,28552025000000.0,1.4033380119273502,34869881000000.0,27183160000000.0,1.2827751078241088,4280500000000.0,-3013603000000.0,-319476000000.0,0.0479871936692285,20260327,12040562,1554136,107505015,wics_local_fallback
LK삼양,225190,00992543,2025,IT,WICS 기술하드웨어와장비,21406322851.0,32015353229.0,-0.3313732102880619,-16851147157.0,-3226899816.0,4.222085629509361,-0.7872041954283052,-18585289310.0,-1452921703.0,11.791666110861309,-0.5586729846132936,45265711594.0,11998863506.0,33266848088.0,0.3606853127251398,23440026136.0,3595779633.0,6.518760471548619,-3829731123.0,-5219479033.0,21553683429.0,-0.1789065384866459,20260327,62632,2658156,31006113,wics_local_fallback
LS머트리얼즈,417200,01528141,2025,IT,WICS 전자와 전기제품,153582399002.0,142075605799.0,0.0809906326866493,-141609582.0,6197093266.0,-1.0228509683365479,-0.0009220430395683,-1007100491.0,5690646441.0,-1.1769747077843453,-0.0048871651059562,274526446057.0,68455959555.0,206070486502.0,0.3321968163273861,121309036488.0,32307117304.0,3.754870338523844,5641108239.0,-23940280954.0,25462662890.0,0.0367301740020778,20260327,685565,1554136,35855909,wics_local_fallback
LS티라유텍,322180,01309388,2025,IT,WICS 소프트웨어와서비스,58940727170.0,57466908663.0,0.0256463857424945,-4293305447.0,-7912345095.0,-0.4573915324152074,-0.0728410668334141,-11408430827.0,-2023029686.0,4.639279989784589,-0.1625417218709712,111502555151.0,41314847677.0,70187707474.0,0.5886336676875288,44483203767.0,33018685798.0,1.3472130308013175,-6865968376.0,854376201.0,-4917854770.0,-0.1164893734038402,20260327,89864,365226,12343970,wics_local_fallback
LX세미콘,108320,00525934,2025,IT,WICS 디스플레이,1639070665791.0,1865621538499.0,-0.1214345289400299,108856055553.0,167076803816.0,-0.34846697406970945,0.0664132778561241,82633081344.0,130509153930.0,-0.3668407245339959,0.073412046397123,1399843476485.0,274236911903.0,1125606564582.0,0.2436347837086747,1062105944395.0,240341464360.0,4.419154003339617,137086532839.0,-148843852642.0,-48821681499.0,0.0836367434913755,20260327,562289,153256,10897081,wics_local_fallback
MDS테크,086960,00445841,2025,IT,WICS 소프트웨어와서비스,187705770904.0,165579308474.0,0.1336306005497927,5813313438.0,5944329911.0,-0.022040578999081736,0.0309703500856835,6190210178.0,6120966035.0,0.011312616767362931,0.0431951795439117,212101977415.0,68794084188.0,143307893227.0,0.4800439294647227,144056878090.0,67212203433.0,2.143314319900285,16117117994.0,-12655415212.0,-11155960890.0,0.0858637319267233,20260327,90855,365226,79073163,wics_local_fallback
NHN,181710,00983271,2025,IT,WICS 소프트웨어와서비스,2516233825224.0,2456107865377.0,0.0244801788612695,132434145572.0,-32619646834.0,-5.05995031908076,0.0526318914579452,51909280522.0,-192599078282.0,-1.2695198802872534,0.0293137449550635,3851415641250.0,2080598551807.0,1770817089443.0,1.1749370187416928,2202155682124.0,1544688176528.0,1.4256312151451769,373978033332.0,12784899939.0,554109399103.0,0.1486261052462832,20260327,548288,365226,13101255,wics_local_fallback
NHN KCP,060250,00357740,2025,IT,WICS 소프트웨어와서비스,1234882750705.0,1105325511837.0,0.1172118416525841,54687939493.0,43781831372.0,0.24910123170349685,0.044285936832285,45777927208.0,45257223891.0,0.011505418853221988,0.1522535007079449,659744795088.0,359075667645.0,300669127443.0,1.194255195731968,578460827701.0,353843698675.0,1.634791943072886,200325990515.0,28283679302.0,-12753939615.0,0.1622226809797392,20260327,362911,365226,21285123,wics_local_fallback
NICE,034310,00158316,2025,IT,WICS 소프트웨어와서비스,3242560195759.0,,,198097014621.0,174263701108.0,0.13676579437635894,0.0610927793661608,76572424408.0,100883643521.0,-0.240982762561895,0.0545199221595502,3680345644320.0,2275860432769.0,1404485211551.0,1.6204232084834298,2062538013975.0,1957733655045.0,1.0535335124162184,406018070966.0,-219984659423.0,14916820525.0,0.1252152763415273,20260327,232893,365226,16540720,wics_local_fallback
NICE인프라,063570,00363769,2025,IT,WICS 소프트웨어와서비스,383954233593.0,338702988011.0,0.1336015541159925,30713748831.0,18704472550.0,0.6420537253267802,0.0799932547782693,7190300230.0,2397982374.0,1.9984791831501594,0.0391686905587958,632896928821.0,449324281193.0,183572647628.0,2.447664654832082,251099880332.0,349448789933.0,0.7185598793463944,82581009235.0,-65939996248.0,26213708547.0,0.2150803455459165,20260327,76465,365226,18098295,wics_local_fallback
PS일렉트로닉스,332570,01015160,2025,IT,WICS 기술하드웨어와장비,125476577087.0,122129660010.0,0.0274046212584719,3908628660.0,10771020985.0,-0.6371162338794756,0.0311502652585902,20217511019.0,-7717133288.0,-3.6198214109425657,0.1474090120796252,231933880383.0,94781404196.0,137152476187.0,0.6910659350165189,158516796525.0,67081417726.0,2.363050780656961,23044997551.0,-42437868158.0,9160803770.0,0.183659756155299,20260327,170665,2658156,32140210,wics_local_fallback
RFHIC,218410,01078178,2025,IT,WICS 기술하드웨어와장비,185803786324.0,114875963020.0,0.6174296296576108,30889493523.0,1529788265.0,19.19200580218858,0.166247922790635,35505822915.0,19698779772.0,0.8024376801992708,0.0895572080746827,546184500788.0,149724811185.0,396459689603.0,0.3776545639102145,301875402074.0,75953289929.0,3.974487508785842,29499225878.0,-37905386358.0,7801586228.0,0.1587654722307972,20260327,1356562,2658156,16463134,wics_local_fallback
