Date,Close,CPI_YoY
2023-07-21,304.014,3.07
2023-07-24,304.014,3.07
2023-07-25,304.014,3.07
2023-07-26,304.014,3.07
2023-07-27,304.014,3.07
2023-07-28,304.014,3.07
2023-07-31,304.014,3.07
2023-08-01,304.014,3.07
2023-08-02,304.014,3.07
2023-08-03,304.014,3.07
2023-08-04,304.014,3.07
2023-08-07,304.014,3.07
2023-08-08,304.014,3.07
2023-08-09,304.014,3.07
2023-08-10,304.014,3.07
2023-08-11,304.014,3.07
2023-08-14,304.014,3.07
2023-08-15,304.014,3.07
2023-08-16,306.082,3.72
2023-08-17,306.082,3.72
2023-08-18,306.082,3.72
2023-08-21,306.082,3.72
2023-08-22,306.082,3.72
2023-08-23,306.082,3.72
2023-08-24,306.082,3.72
2023-08-25,306.082,3.72
2023-08-28,306.082,3.72
2023-08-29,306.082,3.72
2023-08-30,306.082,3.72
2023-08-31,306.082,3.72
2023-09-01,306.082,3.72
2023-09-04,306.082,3.72
2023-09-05,306.082,3.72
2023-09-06,306.082,3.72
2023-09-07,306.082,3.72
2023-09-08,306.082,3.72
2023-09-11,306.082,3.72
2023-09-12,306.082,3.72
2023-09-13,306.082,3.72
2023-09-14,306.082,3.72
2023-09-15,306.082,3.72
2023-09-18,306.082,3.72
2023-09-19,306.082,3.72
2023-09-20,306.082,3.72
2023-09-21,306.082,3.72
2023-09-22,306.082,3.72
2023-09-25,306.082,3.72
2023-09-26,306.082,3.72
2023-09-27,306.082,3.72
2023-09-28,306.082,3.72
2023-09-29,306.082,3.72
2023-10-02,306.082,3.72
2023-10-03,306.082,3.72
2023-10-04,306.082,3.72
2023-10-05,306.082,3.72
2023-10-06,306.082,3.72
2023-10-09,306.082,3.72
2023-10-10,306.082,3.72
2023-10-11,306.082,3.72
2023-10-12,306.082,3.72
2023-10-13,306.082,3.72
2023-10-16,307.696,3.25
2023-10-17,307.696,3.25
2023-10-18,307.696,3.25
2023-10-19,307.696,3.25
2023-10-20,307.696,3.25
2023-10-23,307.696,3.25
2023-10-24,307.696,3.25
2023-10-25,307.696,3.25
2023-10-26,307.696,3.25
2023-10-27,307.696,3.25
2023-10-30,307.696,3.25
2023-10-31,307.696,3.25
2023-11-01,307.696,3.25
2023-11-02,307.696,3.25
2023-11-03,307.696,3.25
2023-11-06,307.696,3.25
2023-11-07,307.696,3.25
2023-11-08,307.696,3.25
2023-11-09,307.696,3.25
2023-11-10,307.696,3.25
2023-11-13,307.696,3.25
2023-11-14,307.696,3.25
2023-11-15,307.696,3.25
2023-11-16,308.148,3.13
2023-11-17,308.148,3.13
2023-11-20,308.148,3.13
2023-11-21,308.148,3.13
2023-11-22,308.148,3.13
2023-11-23,308.148,3.13
2023-11-24,308.148,3.13
2023-11-27,308.148,3.13
2023-11-28,308.148,3.13
2023-11-29,308.148,3.13
2023-11-30,308.148,3.13
2023-12-01,308.148,3.13
2023-12-04,308.148,3.13
2023-12-05,308.148,3.13
2023-12-06,308.148,3.13
2023-12-07,308.148,3.13
2023-12-08,308.148,3.13
2023-12-11,308.148,3.13
2023-12-12,308.148,3.13
2023-12-13,308.148,3.13
2023-12-14,308.148,3.13
2023-12-15,308.148,3.13
2023-12-18,308.148,3.13
2023-12-19,308.148,3.13
2023-12-20,308.148,3.13
2023-12-21,308.148,3.13
2023-12-22,308.148,3.13
2023-12-25,308.148,3.13
2023-12-26,308.148,3.13
2023-12-27,308.148,3.13
2023-12-28,308.148,3.13
2023-12-29,308.148,3.13
