stock_code,company_name,corp_code,snapshot_date,market_cap_wics_raw,trading_value_wics_raw,shares_outstanding,wics_index_code,wics_index_name,wics_large_code,wics_large_name,market,data_provider
225530,HC보광산업,00568461,20260327,49537,6776021,11628392,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
060560,HC홈센타,00288495,20260327,46978,6776021,60931203,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
012630,HDC,00164636,20260327,699307,6776021,24494105,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
039570,HDC랩스,00350312,20260327,58176,6776021,6748976,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
089470,HDC현대EP,00357935,20260327,61095,1375712,11484000,G2510,WICS 자동차와부품,G25,경기관련소비재,KOSPI,wics_local_fallback
294870,HDC현대산업개발,01310269,20260327,791877,6776021,35589958,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
267270,HD건설기계,01205842,20260327,3557617,6776021,27345247,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
009540,HD한국조선해양,00164830,20260327,16623189,6776021,45294794,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
267250,HD현대,01205709,20260327,11187395,6776021,43446196,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
443060,HD현대마린솔루션,01194689,20260327,2720679,6776021,14794340,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
071970,HD현대마린엔진,00406046,20260327,1691156,6776021,22048971,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
322000,HD현대에너지솔루션,01199550,20260327,620928,870675,5040000,G1010,WICS 에너지,G10,에너지,KOSPI,wics_local_fallback
042670,HD현대인프라코어,00344287,20260123,1693996,10931648,122753304,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
267260,HD현대일렉트릭,01205851,20260327,20119708,6776021,21988752,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
329180,HD현대중공업,01390344,20260327,13080793,6776021,26240306,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
376270,HEM파마,01480708,20260327,352910,667883,4524488,G3510,WICS 건강관리장비와서비스,G35,건강관리,KOSPI,wics_local_fallback
097230,HJ중공업,00633835,20260327,1130543,6776021,46050625,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
195940,HK이노엔,01012066,20260327,737115,1898063,13881646,G3520,WICS 제약과생물공학,G35,건강관리,KOSPI,wics_local_fallback
014790,HL D&I,00161116,20260327,64199,6776021,19307886,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
028300,HLB,00199252,20260327,6172792,667883,115812228,G3510,WICS 건강관리장비와서비스,G35,건강관리,KOSPI,wics_local_fallback
003580,HLB글로벌,00169048,20260327,96826,215583,47117059,G2550,WICS 소매(유통),G25,경기관련소비재,KOSPI,wics_local_fallback
278650,HLB바이오스텝,01189438,20260327,89102,1898063,68857967,G3520,WICS 제약과생물공학,G35,건강관리,KOSPI,wics_local_fallback
067630,HLB생명과학,00365590,20260327,399888,667883,99971987,G3510,WICS 건강관리장비와서비스,G35,건강관리,KOSPI,wics_local_fallback
024850,HLB이노베이션,00155586,20260327,343584,11083547,71061927,G4530,WICS 반도체와반도체장비,G45,IT,KOSPI,wics_local_fallback
187420,HLB제넥스,00983916,20260327,51044,1898063,19046188,G3520,WICS 제약과생물공학,G35,건강관리,KOSPI,wics_local_fallback
047920,HLB제약,00336817,20260327,442381,1898063,27223465,G3520,WICS 제약과생물공학,G35,건강관리,KOSPI,wics_local_fallback
115450,HLB테라퓨틱스,00552859,20260327,231150,1898063,75293092,G3520,WICS 제약과생물공학,G35,건강관리,KOSPI,wics_local_fallback
046210,HLB파나진,00172079,20260327,93988,1898063,35467110,G3520,WICS 제약과생물공학,G35,건강관리,KOSPI,wics_local_fallback
204320,HL만도,01042775,20260327,1634859,1375712,31930841,G2510,WICS 자동차와부품,G25,경기관련소비재,KOSPI,wics_local_fallback
060980,HL홀딩스,00299002,20260327,246491,1375712,5447308,G2510,WICS 자동차와부품,G25,경기관련소비재,KOSPI,wics_local_fallback
011200,HMM,00164645,20260327,12239079,308947,622537060,G2030,WICS 운송,G20,산업재,KOSPI,wics_local_fallback
403870,HPSP,01288827,20260327,2155190,11083547,47734000,G4530,WICS 반도체와반도체장비,G45,IT,KOSPI,wics_local_fallback
036640,HRS,00230911,20260327,43947,1649949,8668044,G1510,WICS 소재,G15,소재,KOSPI,wics_local_fallback
035000,HS애드,00140168,20260327,88426,945391,10210815,G5020,WICS 미디어와엔터테인먼트,G50,커뮤니케이션서비스,KOSPI,wics_local_fallback
002460,HS화성,00174527,20260327,79966,6776021,6496000,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
487570,HS효성,01854763,20260327,81374,6776021,1453111,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
298050,HS효성첨단소재,01316254,20260327,506234,1649949,2239974,G1510,WICS 소재,G15,소재,KOSPI,wics_local_fallback
467930,IBKS제23호스팩,01785700,20260327,8801,1158369,4018500,G4030,WICS 다각화된금융,G40,금융,KOSPI,wics_local_fallback
469480,IBKS제24호스팩,01792791,20260327,8780,1158369,4018500,G4030,WICS 다각화된금융,G40,금융,KOSPI,wics_local_fallback
0099X0,IBKS제25호스팩,,20260327,10925,1158369,5023200,G4030,WICS 다각화된금융,G40,금융,KOSPI,wics_local_fallback
015360,INVENI,00105101,20260327,143549,224096,1824000,G5510,WICS 유틸리티,G55,유틸리티,KOSPI,wics_local_fallback
095340,ISC,00572905,20260327,2543647,11083547,10174587,G4530,WICS 반도체와반도체장비,G45,IT,KOSPI,wics_local_fallback
175330,JB금융지주,00980122,20260327,4800843,546922,154367938,G4010,WICS 은행,G40,금융,KOSPI,wics_local_fallback
234080,JW생명과학,00225706,20260327,111450,1898063,8392313,G3520,WICS 제약과생물공학,G35,건강관리,KOSPI,wics_local_fallback
067290,JW신약,00110431,20260327,77331,1898063,38665601,G3520,WICS 제약과생물공학,G35,건강관리,KOSPI,wics_local_fallback
001060,JW중외제약,00149947,20260327,417936,1898063,13040120,G3520,WICS 제약과생물공학,G35,건강관리,KOSPI,wics_local_fallback
096760,JW홀딩스,00632304,20260327,135371,1898063,31048475,G3520,WICS 제약과생물공학,G35,건강관리,KOSPI,wics_local_fallback
035900,JYP Ent.,00258689,20260327,1759249,945391,27360018,G5020,WICS 미디어와엔터테인먼트,G50,커뮤니케이션서비스,KOSPI,wics_local_fallback
318000,KBG,00876166,20260327,22864,1649949,5244133,G1510,WICS 소재,G15,소재,KOSPI,wics_local_fallback
