order_id,created_at,date,symbol,stock_name,display_name,side,status,db_original_status,db_original_filled_qty,broker_status_override,ordered_qty,filled_qty,order_price,avg_fill_price,fill_amount,fill_price_available,execution_row_count,execution_qty,execution_amount,db_original_execution_row_count,db_original_execution_qty,db_original_execution_amount,broker_backfill_total_amount,broker_backfill_reported_avg_price,recorded_commission,recorded_tax,recorded_slippage,modeled_commission,modeled_tax,modeled_total_cost,broker_order_id,strategy_reason,broker_note,execution_venue,account_scope,scope_class,fill_source
2ec6c788-e17b-462d-99b0-e79dd1252714,2026-07-03T13:59:57.709775+09:00,2026-07-03,078930,GS,GS (078930),BUY,FILLED,FILLED,11.0,False,11.0,11.0,72500.0,72390.90909090909,796300.0,True,1,11.0,796290.0,1.0,11.0,796290.0,796300.0,72390.0,0.0,0.0,0.0,119.445,0.0,119.445,0000031569,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=5)",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
def7a8a3-9f79-4f92-bf58-00b03336dd77,2026-07-03T14:00:18.188397+09:00,2026-07-03,078930,GS,GS (078930),BUY,FILLED,FILLED,13.0,False,13.0,13.0,72400.0,72400.0,941200.0,True,2,13.0,941200.0,2.0,13.0,941200.0,941200.0,72400.0,0.0,0.0,0.0,141.17999999999998,0.0,141.17999999999998,0000031604,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=5)",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
153377d2-c4b5-4bc0-9fdc-66c7385fa946,2026-07-03T14:00:50.857902+09:00,2026-07-03,161390,한국타이어앤테크놀로지,한국타이어앤테크놀로지 (161390),BUY,FILLED,FILLED,38.0,False,38.0,38.0,66300.0,66200.0,2515600.0,True,1,38.0,2515600.0,1.0,38.0,2515600.0,2515600.0,66200.0,0.0,0.0,0.0,377.34,0.0,377.34,0000031663,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=5)",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
a2d3e237-b1d1-484b-bc32-88fd0ce90910,2026-07-03T14:01:34.674981+09:00,2026-07-03,034730,SK,SK (034730),BUY,FILLED,FILLED,78.0,False,78.0,78.0,687000.0,684500.0,53391000.0,True,1,78.0,53391000.0,1.0,78.0,53391000.0,53391000.0,684500.0,0.0,0.0,0.0,8008.65,0.0,8008.65,0000031729,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=1.9220000000059372); cancel request failed: KIS business error [40330000]: 모의투자 정정/취소할 수량이 없습니다.; broker state unresolved; requires reconciliation",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
c5898b43-643b-4314-9ba6-d1ca9bcec651,2026-07-03T14:02:09.623192+09:00,2026-07-03,161390,한국타이어앤테크놀로지,한국타이어앤테크놀로지 (161390),BUY,FILLED,FILLED,21.0,False,21.0,21.0,66200.0,66100.0,1388100.0,True,1,21.0,1388100.0,1.0,21.0,1388100.0,1388100.0,66100.0,0.0,0.0,0.0,208.21499999999997,0.0,208.21499999999997,0000031786,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=1.9220000000059372); cancel request failed: KIS business error [40330000]: 모의투자 정정/취소할 수량이 없습니다.; broker state unresolved; requires reconciliation",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
2eeffb96-42b2-4b90-9c77-860a0515f548,2026-07-03T14:02:40.488146+09:00,2026-07-03,034730,SK,SK (034730),BUY,PARTIAL,PARTIAL,15.0,False,33.0,15.0,688000.0,686733.3333333334,10301000.0,True,1,15.0,10300995.0,1.0,15.0,10300995.0,10301000.0,686733.0,0.0,0.0,0.0,1545.1499999999999,0.0,1545.1499999999999,0000031833,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=5)",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
72204b01-846e-461c-89ea-cb2e1ef53b4c,2026-07-03T14:02:54.460211+09:00,2026-07-03,034730,SK,SK (034730),BUY,FILLED,FILLED,30.0,False,30.0,30.0,688000.0,686000.0,20580000.0,True,1,30.0,20580000.0,1.0,30.0,20580000.0,20580000.0,686000.0,0.0,0.0,0.0,3086.9999999999995,0.0,3086.9999999999995,0000031858,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=5)",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
5dd270fc-4e68-4b60-b614-416afe7519a1,2026-07-03T14:03:11.353281+09:00,2026-07-03,034730,SK,SK (034730),BUY,FILLED,FILLED,4.0,False,4.0,4.0,687000.0,685000.0,2740000.0,True,1,4.0,2740000.0,1.0,4.0,2740000.0,2740000.0,685000.0,0.0,0.0,0.0,410.99999999999994,0.0,410.99999999999994,0000031888,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=5)",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
f3f84605-eaf5-44c9-aea0-35c7d72abdcb,2026-07-03T14:03:25.181082+09:00,2026-07-03,034730,SK,SK (034730),BUY,FILLED,FILLED,13.0,False,13.0,13.0,687000.0,685538.4615384615,8912000.0,True,1,13.0,8911994.0,1.0,13.0,8911994.0,8912000.0,685538.0,0.0,0.0,0.0,1336.8,0.0,1336.8,0000031911,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=5)",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
5b5b2a4c-b00e-4663-9740-32072373b699,2026-07-03T14:04:00.299176+09:00,2026-07-03,161390,한국타이어앤테크놀로지,한국타이어앤테크놀로지 (161390),BUY,FILLED,FILLED,12.0,False,12.0,12.0,66300.0,66108.33333333333,793300.0,True,1,12.0,793296.0,1.0,12.0,793296.0,793300.0,66108.0,0.0,0.0,0.0,118.99499999999999,0.0,118.99499999999999,0000031979,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=5); cancel request failed: KIS business error [40330000]: 모의투자 정정/취소할 수량이 없습니다.; broker state unresolved; requires reconciliation",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
6ebc0cad-9645-4911-be7f-e4c3fde88f4f,2026-07-03T14:04:29.119631+09:00,2026-07-03,012330,현대모비스,현대모비스 (012330),BUY,FILLED,FILLED,5.0,False,5.0,5.0,491500.0,490950.0,2454750.0,True,1,5.0,2454750.0,1.0,5.0,2454750.0,2454750.0,490950.0,0.0,0.0,0.0,368.2125,0.0,368.2125,0000032020,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=5)",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
af2a6f34-74d8-40c2-a82b-f36b0a4a26ed,2026-07-03T14:04:43.508327+09:00,2026-07-03,012330,현대모비스,현대모비스 (012330),BUY,FILLED,FILLED,18.0,False,18.0,18.0,491500.0,491361.1111111111,8844500.0,True,1,18.0,8844498.0,1.0,18.0,8844498.0,8844500.0,491361.0,0.0,0.0,0.0,1326.675,0.0,1326.675,0000032047,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=5)",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
93c257d1-5a43-4546-92b0-df857d68cc8c,2026-07-03T14:05:02.054932+09:00,2026-07-03,012330,현대모비스,현대모비스 (012330),BUY,FILLED,FILLED,17.0,False,17.0,17.0,492000.0,491000.0,8347000.0,True,1,17.0,8347000.0,1.0,17.0,8347000.0,8347000.0,491000.0,0.0,0.0,0.0,1252.05,0.0,1252.05,0000032073,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=5)",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
98809a1a-ef97-47b8-a2f5-c17472d7a04c,2026-07-03T14:05:29.489443+09:00,2026-07-03,034730,SK,SK (034730),BUY,PARTIAL,PARTIAL,3.0,False,23.0,3.0,688000.0,686333.3333333334,2059000.0,True,1,3.0,2058999.0,1.0,3.0,2058999.0,2059000.0,686333.0,0.0,0.0,0.0,308.84999999999997,0.0,308.84999999999997,0000032111,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=5)",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
87587f0f-e7c7-41cd-a703-876e66befc7a,2026-07-03T14:06:04.554706+09:00,2026-07-03,078930,GS,GS (078930),BUY,FILLED,FILLED,10.0,False,10.0,10.0,72700.0,72500.0,725000.0,True,2,10.0,725000.0,2.0,10.0,725000.0,725000.0,72500.0,0.0,0.0,0.0,108.74999999999999,0.0,108.74999999999999,0000032150,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=1); cancel request failed: KIS business error [40330000]: 모의투자 정정/취소할 수량이 없습니다.; broker state unresolved; requires reconciliation",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
1c4fa4f5-71a4-45f6-a6f7-98a904f91109,2026-07-03T14:06:29.364604+09:00,2026-07-03,161390,한국타이어앤테크놀로지,한국타이어앤테크놀로지 (161390),BUY,FILLED,FILLED,70.0,False,70.0,70.0,66500.0,66337.14285714286,4643600.0,True,1,70.0,4643590.0,1.0,70.0,4643590.0,4643600.0,66337.0,0.0,0.0,0.0,696.54,0.0,696.54,0000032179,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=5)",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
